ParcelNumber,Date,Price,ConveyanceTax
4280311220000,2024-03-11T10:00:00Z,2750000,13750.00
4280310970000,2024-06-20T10:00:00Z,950000,2375.00
4280310930000,2024-01-05T10:00:00Z,1046855,3140.60
4280300340000,2024-06-26T10:00:00Z,2950000,14750.00
4280290800000,2024-05-17T10:00:00Z,3100000,18600.00
4280280800000,2024-05-03T10:00:00Z,2700000,16200.00
4280280730000,2024-03-22T10:00:00Z,2875000,17250.00
4280270320000,2024-04-09T10:00:00Z,1775000,7100.00
4280270260012,2024-04-22T10:00:00Z,2250000,13500.00
4280270260005,2024-05-30T10:00:00Z,1165000,4660.00
4280270200036,2024-05-03T10:00:00Z,950000,2375.00
4280270190026,2024-06-13T10:00:00Z,880000,2200.00
4280270190018,2024-05-01T10:00:00Z,1000000,4000.00
4280270190011,2024-06-20T10:00:00Z,1250000,5000.00
4280230020000,2024-05-22T10:00:00Z,1562500,6250.00
4280220180004,2024-04-29T10:00:00Z,985000,2462.50
4280200470000,2024-05-10T10:00:00Z,3800000,22800.00
4280200250000,2024-03-15T10:00:00Z,1270000,5080.00
4280200080064,2024-04-04T10:00:00Z,2025000,12150.00
4280200080055,2024-02-09T10:00:00Z,1200000,4800.00
4280200080012,2024-05-16T10:00:00Z,1800000,7200.00
4280200030037,2024-03-04T10:00:00Z,1450000,5800.00
4280200030026,2024-03-15T10:00:00Z,1125000,4500.00
4280200030012,2024-04-22T10:00:00Z,1100000,3300.00
4280200030002,2024-05-02T10:00:00Z,875000,2187.50
4280190220054,2024-02-13T10:00:00Z,1120000,4480.00
4280190220027,2024-04-17T10:00:00Z,1122000,4488.00
4280180050001,2024-02-06T10:00:00Z,471180,706.80
4280180050001,2024-02-13T10:00:00Z,471180,706.80
4280180050001,2024-02-20T10:00:00Z,508874,763.30
4280180050001,2024-02-29T10:00:00Z,433486,650.20
4280150760012,2024-05-13T10:00:00Z,895000,1780.00
4280150760005,2024-01-22T10:00:00Z,781000,1952.50
4280150250103,2024-06-04T10:00:00Z,1850000,7400.00
4280150250057,2024-01-04T10:00:00Z,2425000,14550.00
4280150090006,2024-03-06T10:00:00Z,1850000,7400.00
4280150030057,2024-06-07T10:00:00Z,1985000,7940.00
4280150030041,2024-01-12T10:00:00Z,1190000,4760.00
4280140330314,2024-02-01T10:00:00Z,1400000,5600.00
4280140330228,2024-03-08T10:00:00Z,1600000,6400.00
4280100810000,2024-04-22T10:00:00Z,1000000,4000.00
4280060280003,2024-01-26T10:00:00Z,800000,1600.00
4270080400001,2024-03-13T10:00:00Z,730000,1460.00
4270040490001,2024-05-03T10:00:00Z,1465000,5.86000
4270030170000,2024-01-02T10:00:00Z,240000,240.00
4270030170000,2024-04-03T10:00:00Z,400000,400.00
4270030130000,2024-01-02T10:00:00Z,240000,240.00
4270030130000,2024-04-03T10:00:00Z,400000,400.00
4260230200000,2024-04-22T10:00:00Z,1720000,5160.00
4260230140000,2024-01-19T10:00:00Z,1300000,3900.00
4260230110000,2024-05-17T10:00:00Z,1720000,5160.00
4260210090000,2024-01-10T10:00:00Z,2156000,12936.00
4260210090000,2024-10-11T10:00:00Z,2295000,13770.00
4260210010000,2024-04-26T10:00:00Z,6300000,69300.00
4260200170000,2024-03-25T10:00:00Z,6650000,73150.00
4260190560000,2024-02-09T10:00:00Z,7815000,85965.00
4260190420000,2024-06-20T10:00:00Z,8250000,90750.00
4260190170006,2024-06-17T10:00:00Z,3500000,21000.00
4260180500000,2024-05-15T10:00:00Z,850000,1700.00
4260180400000,2024-03-04T10:00:00Z,5500000,46750.00
4260180300000,2024-02-09T10:00:00Z,8500000,93500.00
4260170190000,2024-01-29T10:00:00Z,8000000,88000.00
4260160880000,2024-02-22T10:00:00Z,5500000,46750.00
4260160880000,2024-12-11T10:00:00Z,5950000,50575.00
4260160610000,2024-05-21T10:00:00Z,416950,625.43
4260160610000,2024-05-28T10:00:00Z,416950,625.43
4260160490000,2024-04-15T10:00:00Z,4995000,42457.50
4260160460000,2024-04-23T10:00:00Z,750000,1500.00
4260160370000,2024-03-22T10:00:00Z,1425000,4275.00
4260160010000,2024-04-19T10:00:00Z,850000,2125.00
4260140210000,2024-01-05T10:00:00Z,1050000,3.15000
4260140160000,2024-01-18T10:00:00Z,1998000,ERROR
4260110190000,2024-04-17T10:00:00Z,4385000,37272.50
4260050220086,2024-03-18T10:00:00Z,590000,885.00
4260050220058,2024-06-20T10:00:00Z,640000,1600.00
4260040510000,2024-05-23T10:00:00Z,775000,1937.50
4260040310013,2024-01-26T10:00:00Z,489000,489.00
4260040200000,2024-02-14T10:00:00Z,1000000,4000.00
4260040100000,2024-01-02T10:00:00Z,520000,520.00
4260040100000,2024-09-04T10:00:00Z,900000,1800.00
4260030700000,2024-01-02T10:00:00Z,240000,240.00
4260030080000,2024-06-21T10:00:00Z,5850000,49725.00
4250110620000,2024-01-12T10:00:00Z,445000,445.00
4250110250000,2024-01-18T10:00:00Z,1393000,ERROR
4250030170001,2024-06-20T10:00:00Z,665000,1330.00
4240140140004,2024-01-26T10:00:00Z,550000,550.00
4240140140001,2024-03-25T10:00:00Z,1600000,4800.00
4240100250000,2024-04-16T10:00:00Z,1150000,3450.00
4240040520001,2024-02-06T10:00:00Z,383100,383.10
4240010880000,2024-01-29T10:00:00Z,660000,1650.00
4240010570000,2024-03-20T10:00:00Z,950000,1900.00
4230240330000,2024-04-12T10:00:00Z,595000,595.00
4230230650000,2024-05-08T10:00:00Z,600000,1200.00
4230210050000,2024-02-27T10:00:00Z,1615000,6460.00
4230201240000,2024-05-16T10:00:00Z,440000,440.00
4230201190000,2024-02-15T10:00:00Z,300000,300.00
4230200900000,2024-01-16T10:00:00Z,970000,1940.00
4230200900000,2024-06-10T10:00:00Z,1115000,3345.00
4230200770003,2024-05-24T10:00:00Z,650000,1300.00
